Movie_ID,Budget,Revenue,Popularity,Vote_Count
MOV100006,1400000.0,4100000.0,4.16129698868409,6517.0
MOV119635,9700000.0,19700000.0,5.565920362650571,4119.0
MOV105990,46350000.0,51700000.0,19.027366298377302,1075.0
MOV119272,93600000.0,308000000.0,6.337393666890239,1730.0
MOV101108,40050000.0,302300000.0,1.883147628296571,818.0
MOV113048,4400000.0,34400000.0,3.5979671209849267,1493.0
MOV114626,15550000.0,22600000.0,12.729144766537742,5928.0
MOV109221,17250000.0,23800000.0,5.91932905427869,174.0
MOV118556,16100000.0,15300000.0,5.328954712338044,276.0
MOV110026,9550000.0,21200000.0,0.5059067673509947,1097.0
MOV114993,5700000.0,4800000.0,1.0532430088044098,71.0
MOV100557,6250000.0,8900000.0,12.608127519704832,1627.0
MOV119204,2750000.0,7200000.0,1.7424596558305767,885.0
MOV110790,93900000.0,298600000.0,7.557245009753854,3604.0
MOV103605,17250000.0,52000000.0,94.65914248622562,14507.0
MOV105896,26450000.0,78200000.0,7.685332309445107,946.0
MOV112232,30400000.0,273700000.0,2.7233073977438167,175.0
MOV101202,12350000.0,9700000.0,18.851773103660186,1636.0
MOV105644,15600000.0,90000000.0,27.9703491796517,3843.0
MOV110828,22750000.0,57300000.0,7.796797111407191,303.0
MOV104768,13050000.0,33200000.0,9.933199719341289,16347.0
MOV117948,28000000.0,167000000.0,4.340822972327579,893.0
MOV114784,14800000.0,15600000.0,4.370542287462008,121.0
MOV114896,56000000.0,185000000.0,7.388425640478687,528.0
MOV117251,54800000.0,416800000.0,15.641557291348397,2788.0
MOV106689,15450000.0,36500000.0,24.393706019015916,25952.0
MOV111434,39900000.0,46600000.0,19.283396415629667,1018.0
MOV113766,22550000.0,21500000.0,4.989430232591548,290.0
MOV106037,2050000.0,13900000.0,2.214705426737486,125.0
MOV111029,11900000.0,40300000.0,1.6553739622446342,1422.0
MOV107386,2000000.0,4300000.0,5.895810090157427,759.0
MOV101539,110300000.0,972800000.0,2.9639989366982724,2684.0
MOV109166,51850000.0,155200000.0,0.6945098999345538,111.0
MOV110262,105300000.0,415800000.0,12.096630649368134,3710.0
MOV103610,7150000.0,14200000.0,3.7573790273540406,1051.0
MOV106333,39500000.0,148900000.0,6.573560401519995,1453.0
MOV117066,36500000.0,125900000.0,3.5907007456181312,434.0
MOV110475,2550000.0,3300000.0,2.318274142454261,1400.0
